{'姓名': '安喜县吏', '拼音': 'ān-xǐ-xiàn-lì', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '刘备任安喜县尉时，督邮到县巡视并向刘备索贿，刘备拒绝。督邮于是威逼该县吏陷害刘备，县吏不从，由此发生了张飞怒打督邮的事件。'}
{'姓名': '曹性', '拼音': 'cáo-xìng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '吕布健将。随布辗转，引伏兵袭曹公，又於濮阳围公。后公、刘备等复击布，高顺报之，布令萌、侯成、曹性引二百余骑接应顺。顺与曹将夏侯惇交战，战有四五十合，顺抵敌不住，败下阵来。惇纵马追赶，顺绕阵而走。惇不舍，亦绕阵追之。阵上性看见，暗地拈弓搭箭，觑得亲切，一箭射去，正中惇左目。惇大叫一声，拔矢啖睛，复挺枪纵马，直取性。性不及提防，早被一枪搠透面门，死于马下。'}
{'姓名': '岑彭', '拼音': 'cén-péng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '君然', '生卒': '？ - 35', '古代籍贯': '荆州南阳郡棘阳', '现代籍贯': '河南南阳市南', '介绍': '东汉中兴名将。演义中曹操说张辽、许褚等勇不可挡，虽岑彭、马武不及也。'}
{'姓名': '岑晊', '拼音': 'cén-zhì', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '公孝', '生卒': '？ - ？', '古代籍贯': '荆州南阳郡棘阳', '现代籍贯': '河南南阳市南', '介绍': '演义中介绍江夏八俊时，提到此人。'}
{'姓名': '昌奇', '拼音': 'chāng-qí', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '杨任部将。曹操攻张鲁，杨任与夏侯渊战于南郑。任遣部将昌奇出马，与渊交锋；战不三合，被渊一刀斩于马下。'}
{'姓名': '昌豨', '拼音': 'chāng-xī', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 206', '古代籍贯': None, '现代籍贯': None, '介绍': '初，与孙观、吴敦、尹礼为泰山寇。吕布使陈宫、臧霸与之结连，攻山东兖州诸郡。于萧关附近遇曹军，操令许褚迎战，四将一齐出马，许褚奋力死战。四将抵敌不住，各自败走。后来吕布兵败身死，臧霸降，霸又招安孙观、吴敦、尹礼来降，独豨未肯归顺。'}
{'姓名': '陈耽', '拼音': 'chén-dān', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '汉公', '生卒': '？ - 185', '古代籍贯': '徐州东海郡', '现代籍贯': '山东临沂市郯城县西北', '介绍': '司徒，为十常侍所害。'}
{'姓名': '陈蕃', '拼音': 'chén-fán', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '仲举', '生卒': '？ - 168', '古代籍贯': '豫州汝南郡平舆', '现代籍贯': '河南驻马店市平舆县北三十公里', '介绍': '及桓帝崩，灵帝即位，大将军窦武、太傅陈蕃，共相辅佐。时有宦官曹节等弄权，窦武、陈蕃谋诛之，机事不密，反为所害，中涓自此愈横。'}
{'姓名': '陈宫', '拼音': 'chén-gōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '公台', '生卒': '？ - 198', '古代籍贯': '兖州东郡', '现代籍贯': '河南濮阳市西南', '介绍': '曹操献刀行刺董卓事败，逃到中牟被军士俘获。陈宫识释曹操并随他共谋大事。途中不满曹操的残忍杀戮而离去。曹操兵伐陶谦雪恨，陈宫义释曹操，欲解黎庶当屠。后来投张邈，又转投吕布。吕布听其计谋在濮阳大破曹操，陈宫数次为吕布献策，吕布几乎都不听从，下邳城破，陈宫被曹操俘获，决意赴死。'}
{'姓名': '陈珪', '拼音': 'chén-guī', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '汉瑜', '生卒': '？ - ？', '古代籍贯': '徐州下邳国淮浦', '现代籍贯': '江苏淮安市涟水县西', '介绍': '素怀忧国之志，吕布袭徐州，与子登侍布。因见布暴虐，使子登诣曹公，公增珪秩中二千石。后为曹公内应，布出城，珪、麋竺献城於曹公。'}
{'姓名': '陈横', '拼音': 'chén-héng', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '扬州刺史刘繇的部将。与薛礼、张英一起守卫秣陵（建业），后来被前来进攻的孙策麾下大将蒋钦射杀。'}
{'姓名': '陈兰', '拼音': 'chén-lán', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '扬州庐江郡', '现代籍贯': '安徽巢湖市庐江县西南', '介绍': '初为袁术上将，术攻徐州，兰随之。及术称帝，以兰为副将，取碣石。后术奢侈太过，兰、雷薄皆投嵩山去了。术兵败，又被兰、薄劫去钱粮草料。'}
{'姓名': '陈孙', '拼音': 'chén-sūn', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '刘备自到荆州，刘表待之甚厚。一日，有报降将张武、陈孙在江夏掳掠人民，共谋造反。表闻之惊虑，玄德请往讨之。表大喜，即点三万军，与玄德前去。玄德领命来到江夏，张武、陈孙引兵来迎。玄德与关、张、赵云出马在门旗下，望见张武所骑之马，极其雄骏。玄德曰：“此必千里马也。”言未毕，赵云挺枪而出，径冲彼阵。张武纵马来迎，被赵云一枪刺落马下，随手扯住辔头，牵马回阵。陈孙见了，随赶来夺。张飞大喝一声，挺矛直出，将陈孙刺死。众皆溃散。'}
{'姓名': '陈炜', '拼音': 'chén-wěi', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '人称孔融有异才。太中大夫陈炜后至，同坐以告炜，炜曰：“人小时了了者，大亦未必奇也。”'}
{'姓名': '陈翔', '拼音': 'chén-xiáng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '仲麟', '生卒': '？ - ？', '古代籍贯': '豫州汝南郡', '现代籍贯': '河南驻马店市平舆县北', '介绍': '演义中介绍江夏八俊时，提到此人。'}
{'姓名': '成廉', '拼音': 'chéng-lián', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '吕布六健将之一，为张辽统领。濮阳大败曹公，然廉为乐进一箭射死。'}
{'姓名': '成宜', '拼音': 'chéng-yí', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 211', '古代籍贯': None, '现代籍贯': None, '介绍': '韩遂手下八部兵马将领之一，追随马超、韩遂一起兴兵雪恨，征伐曹操。马超等人夜袭曹操营寨，先使成宜率三十骑往前哨探，侵入中军，被伏兵包围，成宜为夏侯渊所杀。'}
{'姓名': '程旷', '拼音': 'chéng-kuàng', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '宦官。“十常侍”之一。卖官鬻爵，非亲不用，非仇不诛，以致天下大乱。外戚何进谋诛宦竖不成，反遭杀身。袁绍、曹操斩关入内，程旷与赵忠、夏恽、郭胜四个,被赶至翠花楼前，剁为肉泥。'}
{'姓名': '崔烈', '拼音': 'cuī-liè', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '威考', '生卒': '？ - 192', '古代籍贯': '冀州安平国安平', '现代籍贯': '河北衡水市安平县', '介绍': '先为灵帝朝司徒。后李傕郭汜之乱死于国难。'}
{'姓名': '崔毅', '拼音': 'cuī-yì', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '是先朝司徒崔烈的弟弟。汉少帝因十常侍之乱于崔烈的家里避难。'}
{'姓名': '戴员', '拼音': 'dài-yuán', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '东吴丹阳郡丞。与丹阳督将妫览、从人边洪三人密谋，使边洪杀丹阳太守孙翊。而后归罪边洪，斩之于市。二人乘势掳翊家资侍妾。后被翊妻徐氏用计复仇杀死。'}
{'姓名': '邓禹', '拼音': 'dèng-yǔ', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '仲华', '生卒': '2 - 58', '古代籍贯': '荆州南阳郡新野', '现代籍贯': '河南南阳市新野县', '介绍': '邓禹在演义中被孔明赞有匡扶宇宙之才。蜀国邓芝，魏国邓飏皆其后人。'}
{'姓名': '貂蝉', '拼音': 'diāo-chán', '效忠势力': '东汉', '性别': '女', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '舍身报国的可敬女子，她为了挽救天下黎民，为了推翻权臣董卓的荒淫统治，受王允所托，上演了可歌可泣的连环计（连环美人计），周旋于两个男人之间，成功的离间了董卓和吕布，最终吕布将董卓杀死，结束了董卓专权的黑暗时期。'}
{'姓名': '丁宫', '拼音': 'dīng-gōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': None}
{'姓名': '丁原', '拼音': 'dīng-yuán', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '建阳', '生卒': '？ - 189', '古代籍贯': '兖州泰山郡南城[泰山郡]', '现代籍贯': '山东临沂市平邑县南二十公里', '介绍': '荆州刺史、吕布义父。董卓入京都，欲废少帝，原怒之，愤而离席。次日，原引军城外搦战，大胜之。后卓遣虎贲中郎将李肃说原义子吕布杀原，割首献卓。'}
{'姓名': '定州太守', '拼音': 'dìng-zhōu-tài-shǒu', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '张飞怒打督邮后，刘备兄弟三人亡命下野，督邮回报，定州太守申文省府，差人捕捉刘备。另外这里的定州并不是三国时期的地名，当时刘备所处安喜县的上级是中山国，是郡一级的行政单位。'}
{'姓名': '董承', '拼音': 'dǒng-chéng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 200', '古代籍贯': '凉州陇西郡临洮', '现代籍贯': '甘肃定西市岷县', '介绍': '车骑将军。献帝之舅。献帝授与命他诛杀佞臣曹操的玉带。图谋杀曹操的事被下仆秦庆童发现后告密，遭处斩。'}
{'姓名': '董贵人', '拼音': 'dǒng-guì-rén', '效忠势力': '东汉', '性别': '女', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '凉州陇西郡临洮', '现代籍贯': '甘肃定西市岷县', '介绍': '演义中为董贵妃，乃是董承亲女。曹操杀了董承等人，随既带剑入宫，来杀董贵妃。时妃已有五月身孕，操叱武士擒董妃至。操曰：“一人造反，九族皆诛！”怒喝牵去斩之。献帝以董妃有身孕，向操哀告见怜。操不赦，叱武士牵出，勒死于宫门之外。'}
{'姓名': '董祀', '拼音': 'dǒng-sì', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '兖州陈留郡陈留', '现代籍贯': '河南开封市东南陈留城', '介绍': '董祀乃蔡文姬之后夫。'}
{'姓名': '董重', '拼音': 'dǒng-zhòng', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '汉灵帝生母董太后的侄子，曾任骠骑将军。后被何进围剿，自刎于后堂。'}
{'姓名': '窦武', '拼音': 'dòu-wǔ', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '游平', '生卒': '？ - 168', '古代籍贯': '司隶扶风平陵', '现代籍贯': '陕西咸阳市西北', '介绍': '灵帝时为大将军，窦太后临朝，武掌朝政。时宦官专权，武联络陈蕃等人，谋诛宦官，事泄自杀。'}
{'姓名': '度尚', '拼音': 'dù-shàng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '博平', '生卒': '116 - 166', '古代籍贯': '兖州山阳郡', '现代籍贯': '山东济宁市金乡县西北二十公里', '介绍': '上虞县令。奏闻朝廷，表曹娥为孝女。度尚还令邯郸淳作文，镌碑以记其事。'}
{'姓名': '段珪', '拼音': 'duàn-guī', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 189', '古代籍贯': None, '现代籍贯': None, '介绍': '同张让、赵忠、曹节等为“十常侍”，为灵帝所宠。珪等专权乱政、卖官索财，朝野皆痛恨之。及灵帝崩，大将军何进欲杀让等，珪阴结何太后，招进入宫，斩杀之。进部将袁绍引兵攻珪，珪等劫帝走河上，后珪与帝走散，为河南中部掾吏闵贡拿住，贡杀珪，悬头于马项下。及寻到帝，乃使人将珪首级往京师号令。'}
{'姓名': '段煨', '拼音': 'duàn-wēi', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '忠明', '生卒': '？ - 209', '古代籍贯': '凉州武威郡', '现代籍贯': '甘肃武威市', '介绍': '献帝时任将军，驻军华阴。后献帝东还洛阳经华阴驻跸，段煨具衣服饮膳上献。后来杀李傕并将李傕合族老小二百余口，活解入许都。段煨被封为荡寇将军，引兵镇守长安。'}
{'姓名': '法真', '拼音': 'fǎ-zhēn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '高卿', '生卒': '100 - 188', '古代籍贯': '司隶扶风郿', '现代籍贯': '陕西宝鸡市眉县东北', '介绍': '在演义里是西川刘璋部属法正的父亲。'}
{'姓名': '樊能', '拼音': 'fán-néng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '孙策为救老母家小，向袁术借兵来击刘繇。两阵对圆，孙策生擒刘繇部将于麋，拨马回阵。樊能见捉了于糜，挺枪来赶。那枪刚搠到孙策后心，孙策阵上军士大叫：“背后有人暗算！”孙策回头，忽见樊能马到，乃大喝一声，声如巨雷。樊能惊骇，倒翻身撞下马来，破头而死。'}
{'姓名': '樊氏', '拼音': 'fán-shì', '效忠势力': '东汉', '性别': '女', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '桂阳太守赵范寡嫂。赵云取桂阳，范降。范寡嫂曰樊氏，有国色，范常劝其改嫁，樊氏言惟有文武双全，名闻天下；相貌堂堂，威仪出众；与夫家同姓方嫁之。范因此欲以配云，云以与范结拜，恐名誉不立，固辞不许。'}
{'姓名': '范成', '拼音': 'fàn-chéng', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '献帝被曹操迎驾到许都，曹操大权在握，封范成为洛阳令。'}
{'姓名': '范滂', '拼音': 'fàn-pāng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '孟博', '生卒': '137 - 169', '古代籍贯': '豫州汝南郡征羌', '现代籍贯': '河南漯河市郾城县东南七十五里', '介绍': '与刘表等七名士为友，时号“江夏八俊”。'}
{'姓名': '方悦', '拼音': 'fāng-yuè', '效忠势力': '东汉', '性别': '男', '是否虚构': '虚构人物', '字': None, '生卒': None, '古代籍贯': None, '现代籍贯': None, '介绍': '河内太守王匡部将。初平元年，随王匡起兵讨董卓。诸侯军至虎牢关，董卓将吕布出马，王匡回头问曰：“谁敢出战？”方悦纵马挺枪而出。战无五合，被吕布一戟刺于马下。'}
{'姓名': '封谞', '拼音': 'fēng-xū', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 184', '古代籍贯': None, '现代籍贯': None, '介绍': '演义中十常侍之一。结连黄巾军为内应，后张角弟子唐周叛变，大将军何进调兵擒马元义，斩之。次收封谞等一干人，下狱。'}
{'姓名': '冯方', '拼音': 'féng-fāng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': None, '现代籍贯': None, '介绍': '在演义中提到冯方的女儿被袁术立为后。'}
{'姓名': '伏德', '拼音': 'fú-dé', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 214', '古代籍贯': '徐州琅邪国东武', '现代籍贯': '山东潍坊市诸城', '介绍': '伏皇后之兄，随杨奉、董承救驾回洛阳。'}
{'姓名': '伏寿', '拼音': 'fú-shòu', '效忠势力': '东汉', '性别': '女', '是否虚构': '史实人物', '字': None, '生卒': '？ - 214', '古代籍贯': '徐州琅邪国东武', '现代籍贯': '山东潍坊市诸城', '介绍': '汉献帝皇后。因父亲伏完谋曹操事败，遭到灭族而受株连。'}
{'姓名': '伏完', '拼音': 'fú-wán', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - 209', '古代籍贯': '徐州琅邪国东武', '现代籍贯': '山东潍坊市诸城', '介绍': '伏皇后之父。因许田射鹿之事见曹操专横，曾向献帝举荐车骑将军国舅董承讨贼。后來，伏完接到伏皇后讨伐曹操的密书。于是作求密诏的回书，不幸被曹操发现，满门遭抄斩。'}
{'姓名': '高顺', '拼音': 'gāo-shùn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '158 - 198', '古代籍贯': None, '现代籍贯': None, '介绍': '高顺是吕布手下的骁勇战将，号称陷陈营。随吕布奔波征战，劳苦奋命而又忠心耿耿。下邳城破，高顺为曹操所俘，不降被曹操处斩。'}
{'姓名': '耿恭', '拼音': 'gěng-gōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '伯宗', '生卒': '？ - ？', '古代籍贯': '司隶扶风茂陵', '现代籍贯': '陕西咸阳市兴平东', '介绍': '东汉中期大将。曾率东汉军队与匈奴作战。演义中有提及此人。'}
{'姓名': '耿纪', '拼音': 'gěng-jì', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '季行', '生卒': '？ - 218', '古代籍贯': '司隶扶风茂陵', '现代籍贯': '陕西咸阳市兴平东', '介绍': '洛阳人。旧为丞相府掾，后迁侍中少府，与司直韦晃甚厚。见曹操进封王爵，出入用天子车服，心甚不平。建安二十三年春正月，纪与晃、金祎、太医吉平二子五人密议讨曹操。正月十五日夜间，城中大张灯火，庆赏元宵。耿纪等烧丞相长史王必营，于城内四下放火。后金祎二吉皆被杀死，耿纪、韦晃夺路杀出城门，正遇夏侯惇大军围住，被活捉。惇押二人至市曹斩杀，五家老小宗族亦被惇尽杀。'}
{'姓名': '耿武', '拼音': 'gěng-wǔ', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '文威', '生卒': '？ - 191', '古代籍贯': None, '现代籍贯': None, '介绍': '冀州牧韩馥长史。韩馥听信荀谌、辛评之言，欲让袁绍参与州事，耿武谏阻，不从。耿武叹曰：“冀州休矣！”于是弃职而去者三十余人。耿武与关纯伏于城外，以待袁绍。数日后，绍引兵至。耿武、关纯拔刀而出，欲刺杀绍。绍将颜良立斩耿武，文丑砍死关纯。'}
{'姓名': '耿弇', '拼音': 'gěng-yǎn', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '伯昭', '生卒': '？ - 58', '古代籍贯': '司隶扶风茂陵', '现代籍贯': '陕西咸阳市兴平东', '介绍': '东汉开国名将。诸葛亮在舌战群儒时提到他。'}
{'姓名': '公孙度', '拼音': 'gōng-sūn-dù', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': '升济', '生卒': '？ - 204', '古代籍贯': '幽州辽东郡襄平', '现代籍贯': '辽宁辽阳市', '介绍': '武威将军公孙度，乃是辽东太守公孙康之父。'}
{'姓名': '公孙恭', '拼音': 'gōng-sūn-gōng', '效忠势力': '东汉', '性别': '男', '是否虚构': '史实人物', '字': None, '生卒': '？ - ？', '古代籍贯': '幽州辽东郡襄平', '现代籍贯': '辽宁辽阳市', '介绍': '辽东太守公孙度之子，公孙康之弟。曾劝公孙康杀掉袁熙、袁尚结好曹操。继承公孙康的爵位，为车骑将军。但后来由于患病成为阉人，其兄长子渊因而夺取其位。'}
